Siglum	Source	RISM_abbrev
PadC	"Padua, Biblioteca Universitaria 658"	I-Pu 658
PadDi	"Padua, Biblioteca Universitaria 1106"	I-Pu 1106
PadDii	"Padua, Biblioteca Universitaria 1225"	I-Pu 1225
PadDiii	"Padua, Biblioteca Universitaria 1283"	I-Pu 1283
PadDiv	"Padua, Biblioteca Universitaria 675"	I-Pu 675
PadE	"Padua, Biblioteca Universitaria 656"	I-Pu 656
PadF	"Padua, Biblioteca Capitolare C.55"	I-Pc 55
PadG	"Padua, Biblioteca Capitolare C.56"	I-Pc 56
PadH	"Padua, Archivio di Stato, S. Giustina 553"	I-Pas 553
ParmaA	"Parma, Archivio di Stato, Busta n.75 (frammenti musicale)"	I-PAas75
ParmaB	"Parma, Archivio della Fabbrica del Duomo F 09"	I-PAad 09
ParmaC	"Parma, Biblioteca Palatina 98"	I-PAp 98
PC	"Paris, Bibliothèque Nationale, fonds nouv. acq. français 4379"	F-Pn 4379
Pembroke	"Cambridge, Pembroke College 228"	GB-Cpc 228
Pep	"Cambridge, Magdalene College, Pepys Library 1594"	GB-Cmc 1594
Perugia	"Perugia, Biblioteca Capitolare 15"	I-PEc 15
Pesaro	"Pesaro, Biblioteca Oliveriana 1336"	I-PEo 1336
Pic	"Paris, Bibliothèque Nationale, Coll. de Picardie 67"	F-Pn 67
Pisa	"Pisa, Biblioteca Cateriniana del Seminario Arcivescovile 176"	I-PIca 176
Pist	"Pistoia, Archivium Capituli Pistoriensis B 3 5"	I-PSac 5
Pit	"Paris, Bibliothèque Nationale, fonds italien 568"	F-Pn 568
PL-Pm	"Poznan, Biblioteka Zakladu Muzykologii Uniwersytetu Poznanskiego, MS without shelfmark"	PL-Pm
PL-STkA	"Stary Sacz, Biblioteka Klasztoru SS. Klarysek 1 (olim 389,1)"	PL-STk 1
PL-STkB	"Stary Sacz, Biblioteka Klasztoru SS. Klarysek D.2"	PL-STk 2
PL-Wn	"Warsaw, Biblioteka Narodowa, latin Q.I.201"	PL-Wn 201
PL-WRu	"Breslau, Biblioteka Uniwersytecka I.F.417"	PL-WRu 417
Poissy	"Melbourne, State Library of Victoria, ms. *096.1/R66A"	AUS-Msl 66a
Pr	"Praha, Státní Knihovna CSSR - Universitní Knihovna XI E 9"	CS-Pu XIE9
PR	"Paris, Bibliothèque Nationale, fonds nouv. acq. français 6771 (Reina Codex)"	F-Pn 6771
